,gene,1' pH7,1' pH5,16' pH7,16' pH5,1' pH7 density,16' pH7 density,1' pH5 density,16' pH5 density
565,HP0566,33,33,33,32,0.040342298288508556,0.040342298288508556,0.040342298288508556,0.039119804400977995
566,HP0567,38,40,39,39,0.0364333652924257,0.037392138063279005,0.038350910834132314,0.037392138063279005
567,HP0568,30,28,28,28,0.03926701570680628,0.03664921465968586,0.03664921465968586,0.03664921465968586
568,HP0569,51,53,51,49,0.04649042844120328,0.04649042844120328,0.04831358249772106,0.044667274384685506
569,HP0570,66,68,67,67,0.04438466711499664,0.04505716207128446,0.04572965702757229,0.04505716207128446
570,HP0571,19,19,19,19,0.03304347826086956,0.03304347826086956,0.03304347826086956,0.03304347826086956
571,HP0572,12,11,11,11,0.022388059701492536,0.020522388059701493,0.020522388059701493,0.020522388059701493
572,HP0573,8,8,8,8,0.0243161094224924,0.0243161094224924,0.0243161094224924,0.0243161094224924
573,HP0574,28,30,29,30,0.061946902654867256,0.06415929203539823,0.06637168141592921,0.06637168141592921
574,HP0575,24,24,24,23,0.034532374100719423,0.034532374100719423,0.034532374100719423,0.033093525179856115
575,HP0576,37,37,36,37,0.04257767548906789,0.04142692750287687,0.04257767548906789,0.04257767548906789
576,HP0577,27,27,27,27,0.030857142857142857,0.030857142857142857,0.030857142857142857,0.030857142857142857
577,HP0578,63,64,61,63,0.030988686669945892,0.03000491883915396,0.03148057058534186,0.030988686669945892
578,HP0579,19,19,19,20,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.036297640653357534
579,HP0580,39,40,40,39,0.03497757847533632,0.03587443946188341,0.03587443946188341,0.03497757847533632
580,HP0581,39,39,39,39,0.038385826771653545,0.038385826771653545,0.038385826771653545,0.038385826771653545
581,HP0582,36,38,33,33,0.037075180226570546,0.03398558187435633,0.03913491246138002,0.03398558187435633
582,HP0583,23,23,23,23,0.02619589977220957,0.02619589977220957,0.02619589977220957,0.02619589977220957
583,HP0584,13,13,13,13,0.035326086956521736,0.035326086956521736,0.035326086956521736,0.035326086956521736
584,HP0585,27,27,27,27,0.04134762633996937,0.04134762633996937,0.04134762633996937,0.04134762633996937
585,HP0586,106,105,106,104,0.03617747440273038,0.03617747440273038,0.03583617747440273,0.03549488054607509
586,HP0587,33,34,33,33,0.033468559837728194,0.033468559837728194,0.034482758620689655,0.033468559837728194
587,HP0588,16,17,16,16,0.047337278106508875,0.047337278106508875,0.05029585798816568,0.047337278106508875
588,HP0589,42,42,41,41,0.037366548042704624,0.036476868327402136,0.037366548042704624,0.036476868327402136
589,HP0590,32,32,32,32,0.039119804400977995,0.039119804400977995,0.039119804400977995,0.039119804400977995
590,HP0591,23,21,21,21,0.04129263913824058,0.03770197486535009,0.03770197486535009,0.03770197486535009
591,HP0592,90,90,86,86,0.029980013324450366,0.028647568287808126,0.029980013324450366,0.028647568287808126
592,HP0593,59,57,59,60,0.03290574456218628,0.03290574456218628,0.03179029559397657,0.03346346904629113
593,HP0594,2,2,2,2,0.012422360248447204,0.012422360248447204,0.012422360248447204,0.012422360248447204
594,HP0595,65,65,66,66,0.04424778761061947,0.044928522804629,0.04424778761061947,0.044928522804629
595,HP0596,16,16,16,16,0.02782608695652174,0.02782608695652174,0.02782608695652174,0.02782608695652174
596,HP0597,78,78,80,78,0.039473684210526314,0.04048582995951417,0.039473684210526314,0.039473684210526314
597,HP0598,35,35,35,35,0.03130590339892665,0.03130590339892665,0.03130590339892665,0.03130590339892665
598,HP0599,57,57,58,56,0.04391371340523883,0.04468412942989214,0.04391371340523883,0.04314329738058552
599,HP0600,38,41,35,35,0.021372328458942633,0.01968503937007874,0.023059617547806523,0.01968503937007874
600,HP0601,59,59,59,59,0.03858731196860693,0.03858731196860693,0.03858731196860693,0.03858731196860693
601,HP0602,14,14,14,14,0.021439509954058193,0.021439509954058193,0.021439509954058193,0.021439509954058193
602,HP0603,16,17,16,17,0.028268551236749116,0.028268551236749116,0.030035335689045935,0.030035335689045935
603,HP0604,35,35,35,36,0.03434739941118744,0.03434739941118744,0.03434739941118744,0.03532875368007851
604,HP0605,35,35,35,35,0.024475524475524476,0.024475524475524476,0.024475524475524476,0.024475524475524476
605,HP0606,25,25,25,24,0.03566333808844508,0.03566333808844508,0.03566333808844508,0.034236804564907276
606,HP0607,122,123,119,119,0.03957184560493026,0.03859876743431722,0.03989620499513461,0.03859876743431722
607,HP0608,15,15,15,15,0.031315240083507306,0.031315240083507306,0.031315240083507306,0.031315240083507306
608,HP0609,96,95,96,95,0.025855103689738757,0.025855103689738757,0.025585779692970642,0.025585779692970642
609,HP0610,200,205,199,201,0.03431708991077557,0.034145504461221686,0.03517501715854496,0.03448867536032944
610,HP0611,15,15,13,13,0.030181086519114688,0.026156941649899398,0.030181086519114688,0.026156941649899398
611,HP0612,4,4,4,4,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288
612,HP0613,12,13,12,12,0.017191977077363897,0.017191977077363897,0.01862464183381089,0.017191977077363897
613,HP0614,17,17,17,17,0.05120481927710843,0.05120481927710843,0.05120481927710843,0.05120481927710843
614,HP0615,69,68,69,68,0.03507880020335536,0.03507880020335536,0.03457041179461108,0.03457041179461108
615,HP0616,46,47,47,47,0.04904051172707889,0.050106609808102345,0.050106609808102345,0.050106609808102345
616,HP0617,90,90,91,90,0.05202312138728324,0.05260115606936416,0.05202312138728324,0.05202312138728324
617,HP0618,27,27,26,26,0.0472027972027972,0.045454545454545456,0.0472027972027972,0.045454545454545456
618,HP0619,44,44,45,46,0.03522818254603683,0.036028823058446756,0.03522818254603683,0.03682946357085669
619,HP0620,16,16,16,16,0.03088803088803089,0.03088803088803089,0.03088803088803089,0.03088803088803089
620,HP0621,63,62,60,62,0.027571115973741796,0.0262582056892779,0.027133479212253828,0.027133479212253828
621,HP0622,8,8,8,8,0.022284122562674095,0.022284122562674095,0.022284122562674095,0.022284122562674095
622,HP0623,51,51,48,49,0.03789004457652303,0.03566121842496285,0.03789004457652303,0.036404160475482915
623,HP0624,37,37,38,37,0.03291814946619217,0.033807829181494664,0.03291814946619217,0.03291814946619217
624,HP0625,52,53,51,52,0.048327137546468404,0.047397769516728624,0.04925650557620818,0.048327137546468404
625,HP0626,38,38,38,38,0.03161397670549085,0.03161397670549085,0.03161397670549085,0.03161397670549085
626,HP0627,8,8,6,8,0.0243161094224924,0.0182370820668693,0.0243161094224924,0.0243161094224924
627,HP0628,25,26,26,26,0.037091988130563795,0.03857566765578635,0.03857566765578635,0.03857566765578635
628,HP0629,102,101,102,101,0.04995102840352596,0.04995102840352596,0.0494613124387855,0.0494613124387855
629,HP0630,21,21,21,21,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.03614457831325301
630,HP0631,54,54,53,55,0.04691572545612511,0.046046915725456126,0.04691572545612511,0.04778453518679409
631,HP0632,83,82,83,83,0.04789382573571841,0.04789382573571841,0.04731679169070975,0.04789382573571841
632,HP0633,26,26,26,26,0.038748137108792845,0.038748137108792845,0.038748137108792845,0.038748137108792845
633,HP0634,16,16,16,16,0.0300187617260788,0.0300187617260788,0.0300187617260788,0.0300187617260788
634,HP0635,47,48,47,47,0.03061889250814332,0.03061889250814332,0.031270358306188926,0.03061889250814332
635,HP0636,5,4,5,4,0.01818181818181818,0.01818181818181818,0.014545454545454545,0.014545454545454545
636,HP0637,20,20,20,20,0.044543429844097995,0.044543429844097995,0.044543429844097995,0.044543429844097995
637,HP0638,31,31,32,31,0.03391684901531729,0.0350109409190372,0.03391684901531729,0.03391684901531729
638,HP0639,27,27,25,25,0.03988183161004431,0.03692762186115214,0.03988183161004431,0.03692762186115214
639,HP0640,36,35,35,35,0.02987551867219917,0.029045643153526972,0.029045643153526972,0.029045643153526972
640,HP0641,7,7,7,7,0.03125,0.03125,0.03125,0.03125
