gene,ctrl differences,FDR,fold
HP1061,1,5.22e-06,2.006651292
HP1062,2,0.000161,2.563660037
HP1077,2,1.23e-05,0.508589409
HP1079,1,0.0738,1.306840337
HP1080,1,0.0165,1.992789896
HP1082,1,0.0245,1.444915249
HP1083,3,7.44e-50,0.083182063
HP1085,1,1.39e-15,3.045095118
HP1088,1,0.539,0.905762271
HP1089,2,0.0349,1.396134255
HP1095,1,0.249,1.234732256
HP1099,1,7.33e-09,0.423469106
HP1103,2,2.9e-05,0.577360177
HP1104,1,0.00147,1.754267828
HP1105,2,8.96e-06,1.959887487
HP1111,1,0.79,0.942499564
HP1112,1,0.732,1.058640281
HP1113,1,0.000899,1.607092546
HP1114,3,0.00491,1.5113838
HP1116,3,0.0449,1.744389281
HP1118,3,0.00139,0.569731977
HP1119,2,0.128,0.515881953
HP1138,1,0.869,1.036621115
HP1143,1,0.00243,0.436705298
HP1150,1,0.961,0.987120127
HP1153,4,0.645,0.925918129
HP1156,1,0.166,0.820094063
HP1157,2,0.151,0.814194215
HP1158,2,0.478,0.897492562
HP1160,1,0.345,1.175757229
HP1163,1,5.79e-06,2.390295176
HP1166,1,0.00172,1.53167229
HP1169,1,1.78e-08,2.811242339
HP1170,1,1.65e-05,2.408016505
HP1171,2,0.000225,1.771095766
HP1173,1,0.859,1.041936052
HP1175,1,7.09e-29,0.242244884
HP1177,2,6.15e-45,0.062513165
HP1180,5,2.5e-17,0.30703776
HP1181,1,0.00132,1.687666027
HP1183,1,0.416,0.877970621
HP1188,3,1.32e-12,2.997651774
HP1191,1,0.00558,1.609441211
HP1195,1,0.123,0.747673189
HP1197,1,0.748,0.917654126
HP1198,8,0.479,0.869503969
HP1199,1,0.652,0.849849013
HP1206,1,0.584,0.87919988
HP1207,2,0.0303,1.354675413
HP1210,3,5.7e-05,0.491864547
HP1213,4,0.00942,0.682935825
HP1214,1,8.66e-09,2.222129554
HP1215,1,0.0349,1.935642933
HP1219,1,0.884,1.073918236
HP1220,1,1.06e-11,2.954701256
HP1221,1,1.49e-09,2.78812194
HP1222,4,6.03e-09,2.559287366
HP1224,1,0.762,1.058163063
HP1226,1,0.0529,1.643375646
HP1229,2,0.614,0.919452968
HP1230,2,0.395,0.876029079
HP1232,1,0.0196,1.667749522
HP1235,1,0.000148,2.79239097
HP1236,2,0.00464,0.663651348
HP1237,1,0.196,0.830006617
HP1238,2,1.2e-13,3.57387866
HP1241,6,2.21e-13,0.377985325
HP1243,2,1.16e-06,0.430705769
HP1247,2,0.92,0.974666435
HP1248,2,0.0334,1.916478139
HP1249,1,1.13e-06,2.051616653
HP1252,1,0.0178,1.434589249
HP1262,1,0.819,1.050662178
HP1263,1,0.117,1.323123791
HP1265,1,0.000272,1.676468692
HP1266,3,0.631,1.097210175
HP1267,1,0.212,0.802887064
HP1271,1,0.5,0.880674024
HP1273,1,0.197,0.821882783
HP1274,1,0.0099,1.565845229
HP1275,1,0.29,0.852300072
HP1278,1,0.0911,1.297482808
HP1280,2,0.00609,1.773563459
HP1282,2,7.17e-08,2.90079357
HP1283,1,0.691,0.922556435
HP1284,1,0.0412,0.751929442
HP1287,1,0.462,1.150870115
HP1291,1,2.16e-13,0.177248557
HP1292,1,0.478,0.798982498
HP1300,3,0.211,0.788625047
